subject,relationship_imp,relationship,emotion_type,action,emotion_intensity,mb_violation_us,mb_violation_cn,perspective,culture
23,100,dr,guilt,DateOthers,0,12071.53301,12535.96967,patient,usa
23,100,dr,guilt,InvestRelationship,0,13759.47662,12859.61862,patient,usa
23,100,dr,guilt,NoShareReward,0,15120.32746,13953.16845,patient,usa
23,100,dr,guilt,RefuseCompensation,25,9919.789608,8273.568709,patient,usa
23,100,dr,guilt,NoCompensate4Help,0,12762.65649,11389.92236,patient,usa
25,50,teach,guilt,ComplainTroubles,27,13250.89674,13464.25104,patient,usa
25,50,teach,guilt,NoInvest4Needs,1.5,15320.72711,15651.0526,patient,usa
25,50,teach,guilt,NoTimeCompany,50.5,14098.48038,14427.2599,patient,usa
25,50,teach,guilt,ExpressDisagree,8,14375.69537,14146.27708,patient,usa
25,50,teach,guilt,RefuseTaskInstruct,58.5,15686.55432,15258.2151,patient,usa
25,50,teach,guilt,PursueOwnAction,0,15501.73686,15142.56563,patient,usa
25,50,teach,guilt,AvoidSex,1,9007.2328,10350.73073,patient,usa
25,50,teach,guilt,DateOthers,0.5,12933.55396,13811.09167,patient,usa
25,50,teach,guilt,InvestRelationship,0.5,13181.17714,14305.84531,patient,usa
25,50,teach,guilt,NoShareReward,50,15403.90667,15677.87448,patient,usa
25,50,teach,guilt,RefuseCompensation,4,9260.780099,9622.836979,patient,usa
25,50,teach,guilt,NoCompensate4Help,55.5,12450.52889,12882.23646,patient,usa
26,0,acquaintances,guilt,ComplainTroubles,0,12321.42515,16769.77263,patient,usa
26,0,acquaintances,guilt,NoInvest4Needs,0,14422.93786,19543.4939,patient,usa
26,0,acquaintances,guilt,NoTimeCompany,0,13337.91806,18058.11389,patient,usa
26,0,acquaintances,guilt,ExpressDisagree,0,12658.98553,17115.78469,patient,usa
26,0,acquaintances,guilt,RefuseTaskInstruct,0,13676.08848,18168.04392,patient,usa
26,0,acquaintances,guilt,PursueOwnAction,0,13546.82843,18149.68075,patient,usa
26,0,acquaintances,guilt,AvoidSex,0,10117.9226,14717.16,patient,usa
26,0,acquaintances,guilt,DateOthers,0,12977.34623,18264.41776,patient,usa
26,0,acquaintances,guilt,InvestRelationship,0,14749.79136,18720.61246,patient,usa
26,0,acquaintances,guilt,NoShareReward,0,15200.46136,19316.27637,patient,usa
26,0,acquaintances,guilt,RefuseCompensation,50,9872.581395,12071.58243,patient,usa
26,0,acquaintances,guilt,NoCompensate4Help,0,12942.43138,16057.22276,patient,usa
27,99,closefr,guilt,ComplainTroubles,1,13009.91679,14568.86428,patient,usa
27,99,closefr,guilt,NoInvest4Needs,0,15527.707,17063.08669,patient,usa
27,99,closefr,guilt,NoTimeCompany,0,14196.68907,15676.41109,patient,usa
27,99,closefr,guilt,ExpressDisagree,0,12308.92078,14736.28943,patient,usa
27,99,closefr,guilt,RefuseTaskInstruct,0,13006.9719,15676.13012,patient,usa
27,99,closefr,guilt,PursueOwnAction,4.5,12966.87512,15634.17946,patient,usa
27,99,closefr,guilt,AvoidSex,0,10146.08006,11569.16166,patient,usa
27,99,closefr,guilt,DateOthers,0,13179.89377,15078.92277,patient,usa
27,99,closefr,guilt,InvestRelationship,0,14114.15625,15090.8637,patient,usa
27,99,closefr,guilt,NoShareReward,1,14568.51211,16242.60511,patient,usa
27,99,closefr,guilt,RefuseCompensation,8,8337.894622,9538.168445,patient,usa
27,99,closefr,guilt,NoCompensate4Help,2,11996.40492,13197.96964,patient,usa
28,80,parentchild,guilt,ComplainTroubles,22,17054.67091,17183.20313,patient,usa
